"title","avg_rating","rating_count","phone","website","address","area","city","category","images"
"Albert’s Didsbury Restaurant & Bar","4.3","2386","+44 161 434 8289","alberts-restaurants.com","120-122 Barlow Moor Rd, Manchester M20 2PU, United Kingdom","Manchester Withington","Manchester","Modern European restaurant","https://lh3.googleusercontent.com/p/AF1QipNGG4uT1Hnpmylh035N9ke6LWAL23OsvpMiiLHJ=s4196-v1"
"Off The Grid","4.7","139","+44 161 882 0172","offthegridmcr.com","366 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipOKWeo21zYQo05jxJ_4FSNw-Tj6iNrQ2BUaADVw=s4196-v1"
"Damascus Cuisine","4.5","120","+44 161 218 3593","damascuscuisine.co.uk","249 Barlow Moor Rd, Manchester M21 7GJ, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipPVG9yi4Rjos9wWPUmFNljTiF2AvgtOUcC5PlAy=s4196-v1"
"Lucky Mama's","4.8","284","+44 7927 212597",,"565 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8-McDBL4wOCKOLipHWltKAZfT2lsEVQG9Z6e4dq4JjJ63dmNNkj4EyyL7KSqww5-pVPCiEGyNVFa3MImgxV78LogF89Poc_E4qPNG7ToslnpiYEnMLNTH_fqk2btkBRATV3EB6=s4196-v1"
"Double Zero Neapolitan Pizza","4.7","1518","+44 161 943 8980","pizzeriadoublezero.com","368 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Neapolitan restaurant","https://lh3.googleusercontent.com/p/AF1QipNjFaEvIhKxYTq587nsF6aO_e5XY5NXLl6Vvx4P=s4196-v1"
"Cleaver Bar & Kitchen","4.9","95","+44 161 560 6138",,"489 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AG, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_i6UzU9f5LAcxQX_onuWEkbC6O0FPUMBKhqqtX7b5jcUdQJ9-yQ7rbrJeMpd94JEgWHA0cF3FXlxyEU6qUp2T3-DF8Mg4exex2hbfnA-DTqfcyDZkQmT_SuPEZPjdlRkIP66_y=s4196-v1"
"Pasta Venture",,,"+44 7880 121212",,"58, 60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Takeout restaurant",
"La Casita","4.6","509","+44 161 860 5300","lacasitamanchester.co.uk","372 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Mexican restaurant","https://lh3.googleusercontent.com/p/AF1QipP1EOTsxRF36qdi-D6fx7KerkAOev0HTpP5SJ24=s4196-v1"
"The Drop Bar Restaurant","4.3","864","+44 161 286 3317","thedropbarcafe.net","356 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Jamaican restaurant","https://lh3.googleusercontent.com/p/AF1QipPOx7Q9nIUKAaqUIEE77Jp29XYL_lGvGoBxy25W=s4196-v1"
"Momo Shop","4.7","486","+44 161 503 6198","momoshopmcr.com","495 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AG, United Kingdom","Manchester Withington","Manchester","Nepalese restaurant","https://lh3.googleusercontent.com/p/AF1QipNzOPH8cqcZpLPGXlXx6DGLi6jzyl5TVKFpDel2=s4196-v1"
"Rudy's Pizza Napoletana - Chorlton","4.6","479","+44 161 464 6686","rudyspizza.co.uk","577 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8strXwLZjjAktAlI5Ke2IAQSkJIwH083S6wcAZ1PRkgkK_nmmDUVQU7yI5DSy9gaM1V8n5evbBO7usl9KIsuEXKuGMy4zp7FOIHz2uNvgHWWnDprtNGNbGbz6IATVIn48Gl59X=s4196-v1"
"The Beagle","4.4","1203","+44 161 881 8596","nellspizza.co.uk","456-458 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 0BQ, United Kingdom","Manchester Withington","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/p/AF1QipNpwqlF88NjS28aF2VcRIErd2jHznnHivpcVyMC=s4196-v1"
"Hungamaa Chorlton","4.7","382","+44 161 860 7878","hungamaa.co.uk","575 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Indian restaurant","https://lh3.googleusercontent.com/p/AF1QipOWjrdqAnKtAtSoXnERsL3tm4dHVxYekVRdnahL=s4196-v1"
"Bar San Juan","4.8","1759","+44 7378 693594","barsanjuan.com","56 Beech Rd, Chorlton-cum-Hardy, Manchester M21 9EG, United Kingdom","Manchester Withington","Manchester","Tapas restaurant","https://lh3.googleusercontent.com/p/AF1QipN818mE4Azc2i1JZ0FG1-mIji7uYLlunY3WH-KP=s4196-v1"
"Zaytoon - Chorlton","4.8","290","+44 161 881 4448","zaytoon.restaurantwebx.com","352 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Lebanese restaurant","https://lh3.googleusercontent.com/p/AF1QipM4quhqtE7f9kO6PANK6ZT0pZdtbuSZl04OvgVH=s4196-v1"
"Levant Elixir of Co-Existence Restaurant","5.0","105","+44 161 423 0494","levant-restaurant.uk","9 Barlow Moor Rd, Didsbury, Manchester M20 6TN, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipMFayZueDLIJcttJzQ7yb_-qDfn7pGE3p0X3kgu=s4196-v1"
"Coriander Central - Indian & Bangladeshi Cuisine | Reserve A Table & Dine With Us","4.4","561","+44 161 881 0340","corianderrestaurants.co.uk","485 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AG, United Kingdom","Manchester Withington","Manchester","Modern Indian restaurant","https://lh3.googleusercontent.com/p/AF1QipPjcZStcbqRz2qY_h5ceZS7PiJe5Ef-TM-VyJsl=s4196-v1"
"Nell's Chorlton","4.5","121","+44 161 881 8596","nellspizza.co.uk","The Beagle, 456-458 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 0BQ, United Kingdom","Manchester Withington","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/p/AF1QipMVn3x2-a7yA3I34IIcVqHZygMN4G3wIjaZ4DYS=s4196-v1"
"OKitchen","4.6","370","+44 161 434 1854","okitchendidsbury.co.uk","43 Barlow Moor Rd, Didsbury, Manchester M20 6TW, United Kingdom","Manchester Withington","Manchester","Korean restaurant","https://lh3.googleusercontent.com/p/AF1QipPfP_S6vAvnXN2A_EXWMW8kYeiHEtoBjnFb1KQ=s4196-v1"
"Royal Oak","4.1","712","+44 161 860 7438","greeneking.co.uk","440 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 0BQ, United Kingdom","Manchester Withington","Manchester","Pub","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_B6MByrpWVO_Gpj8k7DyP75czeVDikGpxh-3QOL79kw0j85zy6spCvv4nbh53ap9el2FKm1A8HF2eLaCXBi9-93roiEyLmViWtFAe1TxhFzlV3qHv5o4jBkicsI2p4choWd61ZbQ=s4196-v1"
"North Star Delicatessen","4.5","713","+44 161 862 0133","northstarchorlton.co.uk","418 Wilbraham Rd, Manchester M21 0SD, United Kingdom","Manchester Withington","Manchester","Cafe","https://lh3.googleusercontent.com/p/AF1QipO7TIJZdLZ8apIOfucXDChYfDA8Z_5l7KGOLsY=s4196-v1"
"Kofta and shish","4.4","61",,,"571 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_qdlCSlaFbkm7y1hQOy8uNg5YzaGAgFOGqu99BAKwIAPUI5QwIOPvp1L5VmiwM1nclEnOPBBVxBhMzEMqXAa_Yheoe3yGN6x0_JUjCQ2rigp7U_YSRnS0Q4FNIiNCbEaglgpS2CA=s4196-v1"
"Croma Chorlton","4.4","986","+44 161 881 1117","cromapizza.co.uk","500 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 9AP, United Kingdom","Manchester Withington","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/p/AF1QipM3Nl4g2i-SWc9NT3UB_aypQm7LclC6m4hFXXUy=s4196-v1"
"Sliders & Co",,,"+44 161 758 0159",,"58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hamburger restaurant",
"Turkish Delight","4.3","531","+44 161 881 0503","turkishdelightrestaurant.com","573 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Turkish restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-7LchPTrXcg0SqA70q7xqGaOzMzsAAREFHCdQHT1vmjCwAyLetmRnQyo72K1n8L0xz13m94WxnTwZKZ9pLk1quBBoPAq4h73Eg4Ta_6Sk9TJvxLCqWctRYNEPnToKeV9wCURhI=s4196-v1"
"Mumbai Tiffin Room Indian Restaurant Chorlton-cum-Hardy","4.6","287","+44 161 881 8111","mumbaitiffinroom.co.uk","406 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AD, United Kingdom","Manchester Withington","Manchester","Indian restaurant","https://lh3.googleusercontent.com/p/AF1QipMAjgxGrQr6H4U3IqEv_lXlKA76V8OCRG-ah7x0=s4196-v1"
"No 4 Dine & Wine","4.8","276","+44 161 445 0448","no4dineandwine.com","4 Warburton St, Didsbury, Manchester M20 6WA, United Kingdom","Manchester Withington","Manchester","Modern European restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Rz3e67bo96iqFPyZ--BsfLfk8whROHZmkpjtSdL2WyEdF9UMQGe6hm8RlVx8WgpfHKyUNA0QZUpH8D6VkhnFqU-TIRv5c_UZeOBvk1no99vVhGHcH6YkFkvJtcDJ2ncBQSRwJ=s4196-v1"
"The Oystercatcher","4.8","635","+44 161 637 5890","theoystercatcher.org","123 Manchester Rd, Chorlton-cum-Hardy, Manchester M21 9PG, United Kingdom","Manchester Withington","Manchester","Oyster bar restaurant","https://lh3.googleusercontent.com/p/AF1QipOCBh7hM3MFCgGa0vppKxSWmcvlNAYS-QYVpQ1Z=s4196-v1"
"Brewski Bar","4.5","1825","+44 161 537 3991","brewskirestaurants.com","537-539 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 0UE, United Kingdom","Manchester Withington","Manchester","New American restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9IKB7COaNx1Q35b_ckpXLqJkd2e8ftwwZc5eKPDMO2ctz4ZIizQpTAJyVLUlOWQBLciyVy2ZVMeLPkZ1zZJXOebuRhPU9358LHE8L_9FwWsrNHw2hMNg2RiqeqgH58s0HR-biQXQ=s4196-v1"
"YARA Restaurant","4.5","265","+44 161 862 0011","yararestaurantchorlton.co.uk","478 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 9AS, United Kingdom","Manchester Withington","Manchester","Lebanese restaurant","https://lh3.googleusercontent.com/p/AF1QipPinfoIFZ3YMoUpsMvwdkS9bAiwFGF5Ev3FnHje=s4196-v1"
"Water Lily Restaurant & Bar","4.6","148","+44 161 393 9753","thewaterlily.co.uk","615 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 9AN, United Kingdom","Manchester Withington","Manchester","Chinese restaurant","https://lh3.googleusercontent.com/p/AF1QipNvoqAWz4wi3SfjDftXFrfS1u_kAJJP7-IxR7Xe=s4196-v1"
"Ring Sushi hotfood","4.6","367","+44 161 860 0002","efast.cc","358 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Japanese restaurant","https://lh3.googleusercontent.com/p/AF1QipNrsmxexv-bTXPSgCk4nLS01k-Hr9P_-kpnaK73=s4196-v1"
"That’s All Yolks",,,"+44 7555 963672",,"58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Breakfast restaurant",
"The Art of Tea","4.6","650","+44 161 448 9323","theartoftea.co.uk","47 Barlow Moor Rd, Didsbury, Manchester M20 6TW, United Kingdom","Manchester Withington","Manchester","Cafe","https://lh3.googleusercontent.com/p/AF1QipOfolkDXQwGqUEmWWYf1wy9QqAoJhLm0kDlS8gI=s4196-v1"
"Horse & Jockey","4.2","1421","+44 161 860 7794","joseph-holt.com","9 Chorlton Grn, Chorlton-cum-Hardy, Manchester M21 9HS, United Kingdom","Manchester Withington","Manchester","Gastropub","https://lh3.googleusercontent.com/p/AF1QipMq-f8Zt2j8IqtH14DF5gtmcevlZ10kF9nAL_74=s4196-v1-pi0-ya40-ro0-fo100"
"Bunzilla (Chorlton-cum-Hardy)","4.7","327","+44 161 302 5562","bunzilla.uk","439 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AU, United Kingdom","Manchester Withington","Manchester","Fast food restaurant","https://lh3.googleusercontent.com/p/AF1QipPBdtIV0gChciTQ8lyAIrH4fTdccKg6IV8hGMFd=s4196-v1"
"Tibetan Kitchen Manchester","4.8","574","+44 161 881 1966","tibetankitchen.co.uk","254 Upper Chorlton Rd, Firswood, Stretford, Manchester M16 0BN, United Kingdom","Stretford and Urmston","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipO1noMaNBo4j073loBDPjWbMA2hGoD4raLRqpOM=s4196-v1"
"Uva","4.9","49","+44 161 862 9333",,"30 Manchester Rd, Chorlton-cum-Hardy, Manchester M21 9PH, United Kingdom","Manchester Withington","Manchester","Bar & grill","https://lh3.googleusercontent.com/gps-cs-s/AB5caB80ihYoSZ295euqtVq8qyYBXcqklDCEMYX1UNJd7b9Yc6pFrQRsxG2R4sDvMqR_2u5BlKuiQm5kHSjWZOx1i_ISykKf9iQssMqDMgZwlUK3LGW7K_j6WD4RUPfLsSW4BN1cOSi6lA=s4196-v1"
"Shookah Lounge persian restaurant","4.9","183","+44 161 943 7670","shookahlounge.co.uk","320 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AY, United Kingdom","Manchester Withington","Manchester","Bar & grill","https://lh3.googleusercontent.com/p/AF1QipOfGYp5PyKQ_HiQNWk5CuSt-3fEeZocXx1gInbi=s4196-v1"
"Caramello Didsbury","4.5","811","+44 161 823 7242","caramellocafes.com","10 Whitechapel St, Didsbury, Manchester M20 6UB, United Kingdom","Manchester Withington","Manchester","Cafe","https://lh3.googleusercontent.com/p/AF1QipMuh7KgYmPFP3J8P_3OkmAEO_8wZjvMnFSsH1wR=s4196-v1"
"Neighbourhood","4.6","247","+44 161 434 9900","ourneighbourhoodbar.com","113 Lapwing Ln, Manchester M20 6UR, United Kingdom","Manchester Withington","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/p/AF1QipPGpwmx1ATYWdP7d6yCVcDC6Rurn4ZRiZ5Iyet7=s4196-v1"
"World Peace Cafe","4.5","17","+44 161 861 7012","facebook.com","76 High Ln, Chorlton-cum-Hardy, Manchester M21 9XF, United Kingdom","Manchester Withington","Manchester","Vegetarian cafe and deli","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8DXxVWQU9IcOKB9Fie5Kd9ly3x6XJtnWiW-buJa4gm3HldjVPEuKy8wXE8iWLrbgxxLTM97K2zdROO10KZQeFRhanAKSVk4SG1kM8k90VBEIQpH62Ku4eGGtoP646gYaNoL-AF=s4196-v1"
"The Phoenix Deli","4.8","256","+44 161 222 4990","facebook.com","127 Oswald Rd, Chorlton-cum-Hardy, Manchester M21 9GE, United Kingdom","Manchester Withington","Manchester","Sandwich shop","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8pXMDj3WoFwt4hBwzVATm8T4ilmdNJpcxq9jl3Lvwo-UjXJvgKMMLSH_EskC_tQOEWDacaPqYcaeitpSwL5D0cNCxblMBl5_gRD5faxBetTYWZps8OBfUgYMyNAdnAqtqM3qajyQ=s4196-v1"
"Fonzies Smash burgers and Grill","4.9","182","+44 161 296 8227","fonzies.co.uk","571 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AE, United Kingdom","Manchester Withington","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipPqNsvd8v9P1_yuDmSIKBcm7v81BzPxtAEF-G0X=s4196-v1"
"A Front For Something","4.8","223","+44 161 698 0988","facebook.com","25 Barlow Moor Rd, Didsbury, Manchester M20 6TN, United Kingdom","Manchester Withington","Manchester","Cafe","https://lh3.googleusercontent.com/p/AF1QipPFQbrsYr1WSPI5OtlZJTPYf0wNZ0kKiFT42N7r=s4196-v1"
"Thai Spice","4.5","224","+44 161 881 0400","thai-spice.co.uk","66A Beech Rd, Chorlton-cum-Hardy, Manchester M21 9EG, United Kingdom","Manchester Withington","Manchester","Thai restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8crq45IQyfIWZDT1n7PcgYDuVSvy0lb4eM-fNdCgFUD4vW5tULwCzotAKO0lrCDn0l9izMtsdID9uX98fld5bzI8J6nDFqjMrteEIM-xq1k_AJuhLMd3Ppw0nw15cZJiFwIrI2gw=s4196-v1"
"Thyme Out Food","4.5","717","+44 161 434 8686","thymeoutfoodco.co.uk","147 Nell Ln, West Didsbury, Manchester M20 2LG, United Kingdom","Manchester Withington","Manchester","Brunch restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_-2elfWqIzculludQO4gvYmdaf9GtQBao-bi0Sq0CYtj8AfPez5iwsjDFkjK112gEG2GUST27RiHdqURYBaMfjYnG6Y1n3qeQuObPOtcaetWtbtqGUWvecKEuSRToHamlXEeU=s4196-v1"
"Sansou","4.4","157",,"sansoucafe.com","Greater, 108 Barlow Moor Rd, Didsbury, Manchester M20 2PN, United Kingdom","Manchester Withington","Manchester","Cafe","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_jurxCGcen0AHmBCImEzpUF8UIxnRyRVOT3vkJfdmB3Q3k-nYsyJ8IUsj_zqBhUv26P-o3rmG-HiaDHK0UeOHnOZpiLokS2lQTJ7mdnaBBldVmy4McByOXIMpKtUKV9w0KaRqg=s4196-v1"
"Expo Lounge","4.3","1146","+44 161 448 2141","thelounges.co.uk","766 Wilmslow Rd, Didsbury, Manchester M20 2DR, United Kingdom","Manchester Withington","Manchester","Family restaurant","https://lh3.googleusercontent.com/p/AF1QipP10X7-m0ydbXkRpjbhR1QvMEIsy7AsTPIiTbit=s4196-v1"
"Garden of Peach Taiwan Ramen 桃園樓","4.6","179","+44 7542 601357","linktr.ee","279 Barlow Moor Rd, Manchester M21 7GH, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipPtPCE3qg0OdG6BAfhFSVhCulQFCMITD3mAtBew=s4196-v1"
"Bowling Green Chorlton","4.4","1156","+44 161 860 2800","bowlinggreenchorlton.co.uk","Brookburn Rd, Chorlton-cum-Hardy, Manchester M21 9ES, United Kingdom","Manchester Withington","Manchester",,"https://lh3.googleusercontent.com/p/AF1QipPdyTHE6nOAAT1nG_NfnT6EoAuxIUgc1RZM1ME=s4196-v1"
"Royce Balti Palace, Indian Takeaway, Chorlton-cum-Hardy","4.8","128","+44 161 861 7080","roycebaltipalace.co.uk","111 Beech Rd, Chorlton-cum-Hardy, Manchester M21 9EQ, United Kingdom","Manchester Withington","Manchester","Indian takeaway","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-k8NwAAGJ6RkcwdJ7LziViUFshlBCyOsM9DdIfUt6OerKzxN38DCRthaYrlYnd1iSE0y0YUG1h0zLeTOwQve3ys6dCHVUi9hZ53kqdf8r28G04cUQ8MRTkYMc7a7APVJa7zR2XJA=s4196-v1"
"FOLK.","4.5","693","+44 161 445 2912","folkdidsbury.co.uk","169-171 Burton Rd, West Didsbury, Manchester M20 2LN, United Kingdom","Manchester Withington","Manchester","Bar & grill","https://lh3.googleusercontent.com/p/AF1QipPpif42FGKj03k4lbqBDDn8QPP1fmx4p3e8K0qR=s4196-v1"
"SANTÉ Didsbury","4.4","121","+44 161 459 0328","santedidsbury.com","222 Burton Rd, West Didsbury, Manchester M20 2LW, United Kingdom","Manchester Withington","Manchester","Mediterranean restaurant","https://lh3.googleusercontent.com/p/AF1QipMic3Q5o07ZvYmh_Y31-DJnGnpx1n6oOilju09X=s4196-v1"
"friez",,,"+44 7404 358941",,"M12 6DA, United Kingdom, Manchester, Higher Ardwick",,,"Takeout restaurant",
"Atlantic Fish Bar","4.2","475","+44 161 879 4084",,"345 Barlow Moor Rd, Manchester M21 7QH, United Kingdom","Manchester Withington","Manchester","Fish & chips restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Uu7mLa8O7vobu8NktgcX-D6f1tJmM-EOPw5_iMBh2kTPmQV6I5Pg5lsdxG64zClofvyhpYZ9KFA_pxEINbfQRG8DuE__W1tczggysCYxExQql76JdPSw5cKCC_3mWUpKRgmWX=s4196-v1"
"Saints & Scholars","4.3","454","+44 161 448 2457","saintsbarkitchen.co.uk","694 Wilmslow Rd, Didsbury, Manchester M20 2DN, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_h2X7HoSxhGnWevunY91iRPSoW3ApVWntLklkPH2Bdv8M0ZNpS0_ctRRRUWrANotqWV0TOHcc-QXkgZ2BaCyDocZHKxGwnhwkjEkivW2jO3_MKFpOonYr8MDRykGb7jcmMBvaS=s4196-v1"
"The Lime Tree","4.6","478","+44 161 445 1217","thelimetreerestaurant.co.uk","8 Lapwing Ln, West Didsbury, Manchester M20 2WS, United Kingdom","Manchester Withington","Manchester","Modern European restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-RQbR36nljkoiGdScplPKcNIkFQbuGix-D7gsZHBmLuWzjg0Zj8D2qeYgfIQt2QFam9BKhlr79opugplgHRPRRA-FAywODpIa_hUhnrB71RlNY8OWxUNEYCkuZY8407hnMZgK-4Q=s4196-v1"
"Nora’s Kitchen","4.5","22","+44 161 861 7576",,"Greater, 533 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 0UE, United Kingdom","Manchester Withington","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipM8hdXRxrFXiDeUs72Ut9o4ZL-6FlrRuUFeOTut=s4196-v1"
"ParkWay Sandwich Bar (Chorlton)","4.1","125","+44 161 881 8969","parkwaylounge.co.uk","483 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AG, United Kingdom","Manchester Withington","Manchester","Sandwich shop","https://lh3.googleusercontent.com/p/AF1QipMxPIkS-JtWDAIonJ05mQPHXi9-FQCwN0c2-p8v=s4196-v1"
"Wanago Cafe , Restaurant & sushi Bar","4.4","423","+44 161 445 3461",,"194-196 Burton Rd, West Didsbury, Manchester M20 1LH, United Kingdom","Manchester Withington","Manchester","Sushi restaurant","https://lh3.googleusercontent.com/p/AF1QipPgzJ9UYMLYPTE7qAMMpTfMVzIpbidcH79vaW71=s4196-v1"
"Panicos Take Away","4.6","424","+44 161 861 0613","panicosgrill.com","422 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AD, United Kingdom","Manchester Withington","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_ghj4MsmJ6I6mXfxSlSe2NmX9fRRPP_7XiLmSC4PBPFCE6OJ-WJ-hed3VsNVPTu_0cNP5m8Wvo39_NtoV6QJlE8VB-Wf-wzGl_92GsxhGuMBk5f4DrhAdHJmWN9S5t8hDAyOU-1g=s4196-v1"
"Sai Spice Indian Restaurant, Manchester","4.3","694","+44 161 862 0123","saispiceuk.co.uk","Mauldeth Rd W, Manchester M21 7SP, United Kingdom","Manchester Withington","Manchester","Indian restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-SI_jtn4Nr18gwp8_qRBIBWlnWYmlbfNcVIWMpCJw1v53dDbuYRa3F72f3m2oy52IgCTGWNmyCAmmlx5josEboXaizs4P3W5oQ_ZxiAuu7_Pqa0BlcQEscqN_e_BztdOJ-Urvsow=s4196-v1"
"Electrik Bar","4.3","724","+44 161 881 3315","electrikbar.co.uk","559 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 0AE, United Kingdom","Manchester Withington","Manchester","Bar & grill","https://lh3.googleusercontent.com/gps-proxy/ALd4DhFe3c5cQEWziXdQc5z88zuLohmWCQ6aIL_MNDe0ExEGS93yrmNpCHJ5yboNG1a9cvQLcR92WpnYPM-Cn-FZFArgFKxf1IsZ9sY2PeBLcRtfu4DrbNPE7A51svsBWKbvYvPBk5GoWjs8hQ4yKvhZOgn-e6--n7j3KEylqPstmr4M-ljF9wYpxogkRKgB_Kusj3r3lYE=s4196-v1"
"Bohee Cafe","4.8","41",,"instagram.com","364 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AZ, United Kingdom","Manchester Withington","Manchester","Coffee shop","https://lh3.googleusercontent.com/p/AF1QipOpT_5bHLl2e63_nyGxSJgYC0c4WI7hWFGKMI9Q=s4196-v1"
"The George Charles & Unagi Didsbury","4.4","628","+44 161 445 4999","thegeorgecharles.co.uk","244 Burton Rd, West Didsbury, Manchester M20 2LW, United Kingdom","Manchester Withington","Manchester","Pan-Asian restaurant","https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-ePN5-uK7ypo_gC_dXXo1JAXPpibKjreQajFJK6WxoT1rmU1eLYYW27qi3iQGVy2zOK1_v6Q28FF78yIuybaUL62FTDdpT_m6kadlVARF-jIon9M17RVFYtAKchq1FhEaJnAVSgdUaeILX4BTlE14And2o0j_p8p9-Xi5yetpNaL0RA8WjlMN9g=s4196-v1"
"Cutee Cafe & Restaurant","4.8","184","+44 161 225 7332",,"58 Dickenson Rd, Manchester M14 5HA, United Kingdom","Manchester Rusholme","Manchester","Thai restaurant","https://lh3.googleusercontent.com/p/AF1QipMTYgPNBbuEvulmQdlVICZye3yeO_CfQz--i3Kc=s4196-v1"
"Lahori","4.3","479","+44 161 283 3000","lahorionline.com","452 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 0AG, United Kingdom","Manchester Withington","Manchester","Indian restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9SzUp4qzvETZPsfTSvZ7YCOTVtSfW9oUK7-Vp_7_uV3e9LqDW0ihOtpb-wj0d8NbaFQhsyFuQswNt6SmSFB-9ttYpqzLLCXxFWl3d6Sok_mpPU_JItyAKeq8Wta1Lu9ee5UU4q=s4196-v1"
"Cafe La Fina","4.7","411",,"cafelafina.co.uk","355 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 7FZ, United Kingdom","Manchester Withington","Manchester","Coffee shop","https://lh3.googleusercontent.com/p/AF1QipOUeuvFkRYdcZqxutNoLzTxZ6nIKQSuubh99ZjG=s4196-v1"
"Shogun Ramen and Bar","4.6","283","+44 161 218 0509","shogunramenandbar.com","55 Manchester Rd, Chorlton-cum-Hardy, Manchester M21 9PW, United Kingdom","Manchester Withington","Manchester","Ramen restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_a3EhmrpX-7LmYt4kWflJO7qO7Rc5FsvC5BvdSlhycYO_ykRyPJjRTC7tOJ9CyK22vvs_PqqAIMF4RzxkD82Q7hp9NheYqpK9Tzs8-8VjmVUXeGh8p1Mj2aA9Hfp6OTmCrN9M5=s4196-v1"
